Timestep  Iteration  resNorm(0)  resNorm(1)  
1  1  1.0000000000000000  1.0000000000000000  
1  2  0.8947354270721163  0.0000409682733891  
2  1  0.6033916098823644  0.0003788781145086  
3  1  0.3447437175741542  0.0009070970687728  
4  1  0.2043425227154997  0.0013477011424559  
4  2  0.2112623930571949  0.0002969876415663  
5  1  0.3766771137143772  0.0016883965128337  
5  2  0.0590213495415067  0.0004318182867542  
6  1  0.1994449137747415  0.0017197142848820  
6  2  0.0361802059092423  0.0001992544566377  
7  1  0.0937342821325295  0.0017273363848769  
7  2  0.0240390206382363  0.0000948139615732  
8  1  0.0751887004710713  0.0017306630499860  
8  2  0.0140902182171812  0.0000728796613350  
9  1  0.0536874820073066  0.0016940610187306  
9  2  0.0078250819344006  0.0000436973726385  
10  1  0.0473325192794126  0.0016343349626996  
10  2  0.0034842693531702  0.0000475976922323  
11  1  0.0469520708319911  0.0015631832708269  
11  2  0.0025500681081367  0.0000533544692423  
12  1  0.0461800049607383  0.0014854519956803  
12  2  0.0045149566047611  0.0000564237537682  
13  1  0.0453053275533245  0.0014069220620205  
13  2  0.0029121303033299  0.0000576891101061  
14  1  0.0428327081171748  0.0013297780431238  
14  2  0.0071887338791836  0.0000570425450458  
15  1  0.0425666865601115  0.0012554663299262  
15  2  0.0023710150460629  0.0000564535598332  
16  1  0.0395466109740800  0.0011845898350051  
16  2  0.0042067947192071  0.0000528188259439  
17  1  0.0371984399859330  0.0011158816748177  
17  2  0.0058636348994556  0.0000487171496733  
18  1  0.0352523286968026  0.0010507154021179  
18  2  0.0070667520988123  0.0000466160586129  
19  1  0.0359062884407064  0.0009940217970897  
20  1  0.0307722804779544  0.0009180903230554  
21  1  0.0435300842774370  0.0008685952554550  
22  1  0.0672166244779946  0.0008209867707311  
23  1  0.1119166530430661  0.0007876286261944  
24  1  0.1885723194232594  0.0007747023430283  
25  1  0.3184816023916858  0.0008259987987027  
26  1  0.5241037791764419  0.0010063745263800  
26  2  0.3990673078743955  0.0008670792854927  
27  1  0.6903950735414998  0.0012124373684769  
27  2  0.0939555799657499  0.0007539102446365  
28  1  0.2414964291788079  0.0006995912777359  
29  1  0.3274727767120054  0.0006929278520640  
30  1  0.5149624622900120  0.0009155381375970  
31  1  0.7953994039049113  0.0013004004661653  
31  2  0.2969582811392568  0.0010516981092621  
31  3  0.0335631100616013  0.0002631251447644  
32  1  0.2092887714284205  0.0005608785651218  
33  1  0.3358884948829803  0.0006465716227060  
34  1  0.5525650069302457  0.0008671688781838  
35  1  0.8499401030011554  0.0013727220763365  
35  2  0.0370360181330150  0.0009708366830566  
36  1  0.2288781821591002  0.0005222935216019  
37  1  0.3692876453762373  0.0005936529588334  
38  1  0.6026567830130937  0.0009132542187033  
39  1  0.9129987593881638  0.0014168764810162  
39  2  0.0534744143857091  0.0010467107888978  
39  3  0.0085219513231777  0.0000466046686014  
40  1  0.2430088743902721  0.0004613879667899  
41  1  0.3936446829065393  0.0005981032823245  
42  1  0.6403366971885979  0.0008983579126167  
43  1  0.9540438407837277  0.0014924721966362  
43  2  0.0154884928692138  0.0010873998254153  
43  3  0.0034555014914083  0.0000117078987808  
44  1  0.2596418801086076  0.0004533121892412  
45  1  0.4206561890046168  0.0005711755188233  
46  1  0.6772218939696644  0.0009439813650834  
47  1  0.9982529956972588  0.0015242211594422  
47  2  0.0082445615334760  0.0011352207665989  
47  3  0.0004484398432657  0.0000063239842660  
48  1  0.2778891644215530  0.0004225474470305  
49  1  0.4474094093981519  0.0005951984462287  
50  1  0.7169135003590993  0.0009516143719893  
51  1  1.0365208459719648  0.0016083003755748  
51  2  0.0164675862512377  0.0011874916522843  
51  3  0.0009443348155182  0.0000127454912991  
52  1  0.2964500158150025  0.0004342910903228  
53  1  0.4769185707449659  0.0005875159173767  
54  1  0.7545040395009055  0.0010064287291593  
54  2  0.0030182908792958  0.0007288797900658  
55  1  0.1895265696375944  0.0003085485668034  
56  1  0.3100217239766159  0.0003854799785132  
57  1  0.5132692554033377  0.0006437244109351  
58  1  0.8014483928497460  0.0010345713739390  
58  2  0.0033193354267484  0.0007715792097875  
59  1  0.2021938126806389  0.0002876614536955  
60  1  0.3296538770779844  0.0004075977838075  
61  1  0.5442813219876036  0.0006467879761585  
62  1  0.8383280838809355  0.0010958772633617  
62  2  0.0165608786122034  0.0008073695955662  
63  1  0.2182749627572828  0.0003008267306098  
64  1  0.3560085044276878  0.0004066317013043  
65  1  0.5822740679359222  0.0006967126801897  
66  1  0.8879471134790612  0.0011443352081324  
66  2  0.0331516065907381  0.0008587546819942  
67  1  0.2366007656850384  0.0002949111034734  
68  1  0.3820408483526710  0.0004383331607587  
69  1  0.6215390906651811  0.0007187829198270  
70  1  0.9312560592064851  0.0012240362128200  
70  2  0.0960318472387545  0.0009157863443538  
71  1  0.2953169020080551  0.0003579795561635  
72  1  0.4660101583703622  0.0005014453177705  
73  1  0.7328080350129799  0.0008810710756341  
74  1  1.0550556559624598  0.0014505756562507  
74  2  0.2448681591114562  0.0011348227941057  
74  3  0.0119074374351686  0.0001471287575258  
75  1  0.3036244479906782  0.0003458151699774  
76  1  0.4841383407691568  0.0005355135147025  
77  1  0.7653046590802620  0.0008914590421415  
78  1  1.0830052614461423  0.0015297281280524  
78  2  0.0281276659525146  0.0011370372536923  
78  3  0.0018823903700763  0.0000166925636738  
79  1  0.3193407828253913  0.0003741055503076  
80  1  0.5100263604439507  0.0005343268997312  
81  1  0.7961378421313126  0.0009476513621237  
82  1  1.1177704115683080  0.0015726825890978  
82  2  0.0089840169536151  0.0011839877218606  
82  3  0.0007179344859851  0.0000049717228903  
83  1  0.3367691188916292  0.0003690359924205  
84  1  0.5337877736914313  0.0005734208736915  
85  1  0.8304789621720440  0.0009677411146648  
86  1  1.1443756751375380  0.0016569954302040  
86  2  0.0112668767187490  0.0012349156828590  
86  3  0.0005018906219474  0.0000075728926039  
87  1  0.3542178512640198  0.0003978027662006  
88  1  0.5611689899371911  0.0005787478787616  
89  1  0.8609202791743303  0.0010246651790882  
89  2  0.0038821529372659  0.0007565532349877  
90  1  0.2245482944625397  0.0002568993489635  
91  1  0.3643396520471575  0.0003576687092171  
92  1  0.5934111171199243  0.0006401453590240  
93  1  0.8997266230232860  0.0010554038924336  
93  2  0.0033722065462434  0.0007957744746076  
94  1  0.2363558706460841  0.0002489768010313  
95  1  0.3821561347364148  0.0003888540678215  
96  1  0.6214001135667657  0.0006499945861219  
97  1  0.9291776208919947  0.0011165082651738  
97  2  0.0023747242473807  0.0008303308328771  
98  1  0.2487936889982550  0.0002710210811811  
99  1  0.4025070217253496  0.0003897981944534  
100  1  0.6486505115093529  0.0006925126281943  
101  1  0.9640611916269332  0.0011512534075628  
101  2  0.0079278627343516  0.0008668927912409  
102  1  0.2623811211997705  0.0002694935817234  
103  1  0.4221987659390712  0.0004196621935311  
104  1  0.6791962927659297  0.0007103166633667  
105  1  0.9937594690702370  0.0012164063375262  
105  2  0.0330179193521205  0.0009077975488496  
106  1  0.2799503540443591  0.0002942942201952  
107  1  0.4480894997025180  0.0004303385740624  
108  1  0.7122455510145151  0.0007593703652605  
109  1  1.0325183744732260  0.0012695662904852  
109  2  0.1331556427499613  0.0009619042585780  
110  1  0.3835546034742990  0.0003810446828207  
111  1  0.6009492714553644  0.0005990121485294  
112  1  0.9078723278586437  0.0010351048929264  
112  2  0.2095086634638287  0.0008260064885766  
